effective_electron_temperature_eV,rescigno_x1_m3_s,hamilton_x1_m3_s,rescigno_x2_m3_s,hamilton_x2_m3_s,rescigno_x0p5_m3_s,hamilton_x0p5_m3_s
1.5907907907907901,8.1697552072323599e-16,1.09947307534494e-15,3.2565060528803798e-16,6.8515802199463996e-16,1.5289621768731401e-15,1.5521398541895502e-15
1.6108008008007999,8.5207147295451403e-16,1.1373805352438399e-15,3.4803219076489798e-16,7.1765804951778409e-16,1.5701922307311999e-15,1.58778721890654e-15
1.6308108108108099,8.8785204110891504e-16,1.17575129943376e-15,3.71308584408814e-16,7.5090712000279694e-16,1.6117166856976497e-15,1.6235304937709499e-15
1.6508208208208199,9.2430726092980996e-16,1.2145729182923901e-15,3.9548576465777401e-16,7.8489719985332e-16,1.6535260999358599e-15,1.6593619883207098e-15
1.6708308308308299,9.6142700900523404e-16,1.2538330076272998e-15,4.2056887177919097e-16,8.1961978931059496e-16,1.6956112113329601e-15,1.6952742397119499e-15
1.69084084084084,9.9920102468196102e-16,1.2935192585982201e-15,4.4656219548838004e-16,8.5506595164208098e-16,1.7379629360345098e-15,1.73126000729701e-15
1.71085085085085,1.0376189306948501e-15,1.3336194468423599e-15,4.7346916511205901e-16,8.9122634223919308e-16,1.7805723668212195e-15,1.7673122672542098e-15
1.73086086086086,1.0766702525552301e-15,1.37412144084918e-15,5.0129234260739402e-16,9.2809123745292713e-16,1.8234307713460799e-15,1.8034242072776801e-15
1.75087087087087,1.11634443674359e-15,1.41501320962887e-15,5.3003341866632802e-16,9.6565056302051598e-16,1.86652959024872e-15,1.8395892213335999e-15
1.77088088088088,1.1566308677527e-15,1.4562828297166001e-15,5.5969321205908399e-16,1.0038939219587899e-15,1.9098604351623201e-15,1.8758009044889704e-15
1.79089089089089,1.1975188840280301e-15,1.4979184915526401e-15,5.9027167230079203e-16,1.0428106218204401e-15,1.95341508662701e-15,1.9120530478177301e-15
1.8109009009009001,1.23899779285223e-15,1.53990850527634e-15,6.2176788566183993e-16,1.08238970122797e-15,1.9971854919226099e-15,1.9483396333884401e-15
1.8309109109109101,1.28105688422069e-15,1.58224130597018e-15,6.54180084486228e-16,1.1226199556164401e-15,2.0411637628322898e-15,1.9846548293369201e-15
1.8509209209209201,1.32368544375425e-15,1.6249054583881101e-15,6.8750565973302195e-16,1.1634899621307101e-15,2.0853421733477002e-15,2.0209929850268899e-15
1.8709309309309301,1.36687276469508e-15,1.66788966120046e-15,7.2174117661387901e-16,1.2049881036358201e-15,2.1297131573253098e-15,2.05734862630075e-15
1.8909409409409399,1.4106081590305602e-15,1.7111827507863098e-15,7.5688239316441203e-16,1.24710259180971e-15,2.1742693061026302e-15,2.0937164508223002e-15
1.9109509509509499,1.4548809677889701e-15,1.7547737046021501e-15,7.9292428155845703e-16,1.2898214892974902e-15,2.2190033660823402e-15,2.1300913235129601e-15
1.9309609609609599,1.4996805705499801e-15,1.7986516441543098e-15,8.29861051951778e-16,1.3331327309144002e-15,2.26390823629155e-15,2.1664682720821303e-15
1.9509709709709699,1.5449963942114299e-15,1.8428058376010204e-15,8.6768617862482099e-16,1.37702414389153e-15,2.3089769659228099e-15,2.2028424826526202e-15
1.97098098098098,1.5908179210526998e-15,1.8872257020084802e-15,9.0639242818244897e-16,1.42148346716447e-15,2.35420275186264e-15,2.2392092954811899e-15
1.99099099099099,1.63713469613363e-15,1.9319008052839702e-15,9.4597188956147293e-16,1.4664983697098901e-15,2.3995789362133e-15,2.2755642007743201e-15
2.011001001001,1.68393633406649e-15,1.9768208678076998e-15,9.8641600559387391e-16,1.5120564679393299e-15,2.4450990038122701e-15,2.3119028345990297e-15
2.0310110110110098,1.7312125251971796e-15,2.02197576378376e-15,1.0277156058742601e-15,1.5581453421631601e-15,2.4907565797541402e-15,2.3482209748881501e-15
2.05102102102102,1.77895304123008e-15,2.0673555223295001e-15,1.0698609406838998e-15,1.6047525521404599e-15,2.5365454269188002e-15,2.3845145375395603e-15
2.0710310310310298,1.8271477403301002e-15,2.1129503283213199e-15,1.11284171573019e-15,1.6518656517332299e-15,2.5824594435093001e-15,2.42077957260838e-15
2.09104104104104,1.87578657173333e-15,2.15875052301404e-15,1.1566471274690101e-15,1.6994722026854e-15,2.6284926606029498e-15,2.4570122605914501e-15
2.1110510510510498,1.9248595798968599e-15,2.2047466044496102e-15,1.2012658987880701e-15,1.74755978754879e-15,2.6746392397180897e-15,2.4932089088026799e-15
2.1310610610610601,1.9743569082166199e-15,2.25092922767055e-15,1.2466863148412601e-15,1.7961160217797799e-15,2.7208934703994599e-15,2.52936594783831e-15
2.1510710710710699,2.0242688023406598e-15,2.2972892047518698e-15,1.2928962588371599e-15,1.8451285650315402e-15,2.76724976782417e-15,2.5654799281307298e-15
2.1710810810810801,2.0745856131042801e-15,2.3438175046650496e-15,1.3398832475987401e-15,1.8945851316676697e-15,2.8137026704305002e-15,2.6015475165894402e-15
2.1910910910910899,2.1252977991116602e-15,2.3905052529863299e-15,1.38763446672585e-15,1.9444735005238502e-15,2.8602468375711703e-15,2.6375654933277399e-15
2.2111011011011001,2.17639592898771e-15,2.4373437314612e-15,1.4361368052068702e-15,1.9947815239449299e-15,2.9068770471926098e-15,2.6735307484737199e-15
2.2311111111111099,2.2278706833225602e-15,2.4843243774358499e-15,1.4853768893406202e-15,2.04549713612503e-15,2.9535881935419301e-15,2.7094402790639101e-15
